Timestamp,Do you agree to participate in this survey?,"Have you heard of the term ""graduate attributes"" before?","If yes, can you name some?",Has the importance of these skills in the workplace been explained to you?,Do you have any further comments on the above question?,Would you be interested in learning and developing these skills? ,Do you have any further comments on the above question?,Do you think about the skills you are using in your daily activities that may help you in the workplace? ,Do you have any further comments on the above question?,"If you were asked to have an interview for your current/future job today, would you be confident in listing the graduate skills you have and when you have used them? ",Do you have any further comments on the above question?,"At an interview, do you think you will be assessed on these types of skills? ",Do you have any further comments on the above question?,Do you have experience reflecting on your real-life activities? ,Do you have any further comments on the above question?,Do you find it difficult to sustain self-reflection and evaluate your own emotional responses to situations? ,Do you have any further comments on the above question?
2020/11/09 3:43:07 PM GMT,Yes,No,,Yes,"Some of these attributes have been focused on more than others such as teamwork, communication. 
I don't know what self-eficacy is.",Yes,"Yes, especially those that I have not had as much experience with",No,I dont actively think about it while doing it but if i reflect on it right now then i could think of when its applicable,Yes,Now that i know and understand the majority of them I definitely could come up with some examples,Yes,"Not all of them as that would be quite a lot and would take a while, but could see how some would be more important for a workplace to know about beforehand",No,I don't ever reflect on what i am currently doing at university. I tend to just do my work and then not think about it again,No,I am always able to understand my reaction to a scenario and whether i was being irrational or not and if my reaction was appropriate
2020/11/09 3:58:06 PM GMT,Yes,No,,Yes,Many of these attributes were emphasised during my internship,Yes,No,No,No,No,I'd need to spend quite a while thinking about them,Yes,"I've been assessed on a number of these e.g. critical thinking, professionalism during interviews and an internship",Yes,"Often when writing CV's or cover letters, not as a daily journal etc.",No,Only difficult when putting it into professional terms (i.e. for my CV)
2020/11/10 11:02:55 AM GMT,Yes,Yes,"Teamwork, critical thinker, effective communicator, ",Yes,I have had classes specifically on graduate attributes ,Yes,No,Yes,No,Yes,I feel I could list situations where I have demonstrated these skills in an interview. ,Yes,No,Yes,No,Yes,Sometimes I struggle to identify what I did correct in a situation. 
2020/11/10 11:09:55 AM GMT,Yes,No,,Yes,We have had career people speak to us about these but referred to them as transferable skills- they identified the importance and helped us identify what skills we have improved and what ones we wish to improve further ,Yes,I think they are important skills to learn and use in all aspects of life,Yes,,Yes,I have previous experience doing competency based interviews therefore I am used to identify skills and giving examples of times I have used them in different environments ,Yes,"Yes, I know a lot of places do the competency based interviews now",Yes,,No,I thoroughly enjoy self-reflection and identifying where I have improved 
2020/11/10 12:23:38 PM GMT,Yes,No,,Yes,Some uni courses have basically been based around the development of these skills,Yes,,No,"Not consciously, I'm sure in a way these skills are being developed when I do things but I'm not actively thinking about trying to develop them",Yes,"If I am given like 2 minutes prep time before the interview I'd be fine remembering these skills and seeing how I've applied them, but if I was dropped in zero prep time I probably wouldn't remember off the top",Yes,I think the interview is basically solely about getting a gauge of these skills in the candidate,Yes,In an interview,No,
2020/11/10 12:42:40 PM GMT,Yes,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,I lack emotions sometimes
2020/11/10 1:44:39 PM GMT,Yes,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
2020/11/10 2:20:38 PM GMT,Yes,No,,Yes,"I've experienced classes aimed at developing soft skills, such as Engineering Skills 1 & 2. Whilst these were useful, I believe that I improved these skills most by taking part in extra cirricular activities and student teams. ",Yes,,Yes,"Yes, I think this is mostly because of working in such a new environment (i.e. WFH and online work). It is more obvious that there are various skills required and necessary that perhaps weren't before. ",Yes,"Yes, but I hadn't heard the term graduate skills before, so may have needed it explained to me. ",Yes,"I think these skills are arguably more important than technical skills, as they are harder to teach. ",Yes,,Yes,"No, I find this to be something I actively encourage myself to do. It helps me to feel less stressed and more grounded."
2020/11/10 2:56:14 PM GMT,Yes,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
2020/11/10 4:38:04 PM GMT,Yes,No,,Yes,"The importance of these skills hasn't *explicitly* been explained, but more implicitly, just in the way in which say, communication is important because (for most professions) you'll need to know how to effectively work in a team, convey an idea in a concise manner, etc.",Yes,"I personally think university doesn't do a great job of developing these skills inherently. It's more up to the individual person to work on their critical thinking/teamwork/etc skills.

However, if you let it, university can be a great place to learn and develop your graduate attributes.",Yes,"Even small things, like organising your personal life, talking to friends, solving problems (university or otherwise) can all contribute to the development of graduate attributes. (and we do all of these every day)",Yes,"Before this survey, I hadn't particularly heard of the specific term ""graduate attributes"" (or skills) and rather just thought about them as soft skills, etc.

But to answer the question, yeah, with almost 4 years of university, I feel as if I have a good idea of what I'm good at, and what I'm not good at.",Yes,"For the interviews I have been to, they have assessed my critical thinking, application of knowledge and professionalism. I'd expect for them to implicitly be evaluating my communication, teamwork and adaptability skills as well.",Yes,"I think reflecting on things that happen in your life is a normal part - however many people don't sit down and deliberately think about doing it, they just do it as part of their day.",No,"After anything happens, I like to think about if I reacted to the situation properly. However, sometimes I get a bit carried away, as I'm usually quite anxious thinking if I'm ""acting"" the right way.

I always try to make sure my emotional response to situations is justified, and I always try to keep my emotions in check. From practice, I've definitely gotten better at it than I used to be, as I've grown older."
